Age,Age Diff
27,-3
30,0
29,-1
27,-3
30,0
28,-2
27,-3
26,-4
31,1
25,-5
28,-2
28,-2
26,-4
26,-4
31,1
25,-5
32,2
29,-1
28,-2
31,1
27,-3
29,-1
27,-3
28,-2
27,-3
